src_mac,dst_mac,srcip,dstip,sport,dport,proto,service,state,dur,spkts,dpkts,sbytes,dbytes,sttl,dttl,smeansz,dmeansz,trans_depth,res_bdy_len,http_method,is_ftp_login,ftp_cmd,rate,sloss,dloss,sload,dload,swin,dwin,stcpb,dtcpb,sjit,djit,stime,ltime,sinpkt,dinpkt,tcprtt,synack,ackdat
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1000,53,udp,,SHR,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
00:0c:29:e1:ec:3b,Broadcast,10.0.0.5,10.0.0.9,1000,80,tcp,,S0,0.000000,1,0,54,0,64,,54.000000,0.000000,0,0,,0,,0.000000,0,0,0.000000,0.000000,0,,,,,,1782078667.811101,1782078667.811101,,,0.000000,0.000000,0.000000
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1001,53,udp,,SHR,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
00:0c:29:e1:ec:3b,Broadcast,10.0.0.5,10.0.0.9,1001,80,tcp,,S0,0.000000,1,0,54,0,64,,54.000000,0.000000,0,0,,0,,0.000000,0,0,0.000000,0.000000,65535,,,,,,1782078667.811510,1782078667.811510,,,0.000000,0.000000,0.000000
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1002,53,udp,,SHR,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
00:0c:29:e1:ec:3b,Broadcast,10.0.0.5,10.0.0.9,1002,80,tcp,,S0,0.000000,1,0,54,0,64,,54.000000,0.000000,0,0,,0,,0.000000,0,0,0.000000,0.000000,65535,,,,,,1782078667.811747,1782078667.811747,,,0.000000,0.000000,0.000000
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1003,53,udp,,SHR,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
00:0c:29:e1:ec:3b,Broadcast,10.0.0.5,10.0.0.9,1003,80,tcp,,S0,0.000000,1,0,54,0,64,,54.000000,0.000000,0,0,,0,,0.000000,0,0,0.000000,0.000000,65535,,,,,,1782078667.811972,1782078667.811972,,,0.000000,0.000000,0.000000
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1004,53,udp,,SHR,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
00:0c:29:e1:ec:3b,Broadcast,10.0.0.5,10.0.0.9,1004,80,tcp,,S0,0.000000,1,0,54,0,64,,54.000000,0.000000,0,0,,0,,0.000000,0,0,0.000000,0.000000,65535,,,,,,1782078667.812188,1782078667.812188,,,0.000000,0.000000,0.000000
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1005,53,udp,,SHR,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
00:0c:29:e1:ec:3b,Broadcast,10.0.0.5,10.0.0.9,1005,80,tcp,,S0,0.000000,1,0,54,0,64,,54.000000,0.000000,0,0,,0,,0.000000,0,0,0.000000,0.000000,65535,,,,,,1782078667.812455,1782078667.812455,,,0.000000,0.000000,0.000000
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1006,53,udp,,SHR,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
00:0c:29:e1:ec:3b,Broadcast,10.0.0.5,10.0.0.9,1006,80,tcp,,S0,0.000000,1,0,54,0,64,,54.000000,0.000000,0,0,,0,,0.000000,0,0,0.000000,0.000000,65535,,,,,,1782078667.812684,1782078667.812684,,,0.000000,0.000000,0.000000
ff:ff:ff:ff:ff:ff,00:0c:29:e1:ec:3b,10.0.0.5,10.0.0.9,1007,53,udp,,SHR,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
